ics,measured_item_isscfc
1540,034.3.2.2.5.9.90
1514,034.1.5.8.90
1528,034.4.4.2.5.5.18
1541,034.4.4.2.6.90
1532,037.1.1.5.5.202
1532,037.1.1.5.5.203
1556,037.2.1.1.1.10
1556,037.2.1.1.1.90
1516,034.3.1.5.8.90
1517,034.4.1.5.8.90
1521,081.42.1.5.2.90
1540,034.1.5.9.90
1521,081.42.1.5.3.90
1521,081.42.1.5.4.90
1523,411.11.5.2.90
1522,411.12.5.3.90
1522,411.12.5.4.90
1527,034.1.5.6.75
1528,034.2.5.6.75
1502,034.2.4.5.90
1541,034.4.5.90
1546,034.1.9.1.10
1505,035.02.3.4.5.90
1506,037.1.1.4.5.90
1550,081.99.1.1.901
1550,081.99.2.1.901
1591,291.1.5.90
1591,291.9.7.90
1594,292.9.1.90
1517,034.4.2.5.2.90
1515,034.4.4.2.5.2.45
1503,034.3.1.4.3.50
1546,034.1.9.1.20
1504,034.4.1.4.3.50
1531,035.02.2.5.5.62
1518,035.02.2.5.2.12
1501,034.1.1.1.11
1540,034.1.1.1.12
1520,034.2.9.2.30
1532,037.1.1.5.6.910
1564,036.0.2.5.2.10
1515,034.4.4.2.5.4.49
1546,034.1.9.1.90
1515,034.4.4.2.5.2.32
1515,034.4.4.2.5.2.69
1528,034.4.4.2.5.5.19
1515,034.4.4.2.5.3.02
1515,034.4.4.2.5.4.16
1553,036.0.1.6.3.50
1553,036.0.1.6.3.40
1553,036.0.1.6.5.90
1553,036.0.1.6.2.90
1553,036.0.1.6.9.90
1502,034.2.3.1.10
1563,036.0.2.6.5.20
1563,036.0.2.6.4.90
1571,036.0.2.6.7.50
1563,036.0.2.6.9.91
1502,034.2.3.9.30
1520,035.02.3.9.2.35
1501,034.1.4.5.90
1527,034.1.5.6.95
1540,034.1.6.90
1528,034.2.5.6.95
1541,034.2.6.90
1501,034.1.4.2.11
1502,034.4.4.1.3.9.30
1516,034.3.1.5.1.39
1516,034.3.1.5.1.49
1542,034.3.1.6.90
1502,034.2.3.9.90
1501,034.3.2.2.3.90
1504,034.4.1.4.5.90
1502,034.2.4.2.10
1517,034.4.1.5.1.39
1517,034.4.1.5.1.49
1543,034.4.1.6.90
1504,034.4.2.4.5.90
1517,034.4.2.5.3.90
1517,034.4.2.5.4.90
1502,034.2.4.3.10
1543,034.4.2.6.90
1502,034.2.4.3.20
1502,034.4.4.2.3.9.90
