ics,measured_item_isscfc
1514,034.1.5.4.41
1554,036.0.1.4.6.10
1514,034.1.5.3.90
1554,036.0.1.4.9.90
1555,036.0.1.5.2.90
1555,036.0.1.5.5.90
1555,036.0.1.5.9.90
1562,036.0.2.1.9.90
1562,036.0.2.3.2.10
1562,036.0.2.3.2.90
1562,036.0.2.3.3.10
1562,036.0.2.3.3.21
1527,034.1.5.7.02
1562,036.0.2.3.3.22
1562,036.0.2.3.3.29
1562,036.0.2.3.4.90
1562,036.0.2.3.5.90
1562,036.0.2.3.6.10
1562,036.0.2.3.6.90
1570,036.0.2.3.7.10
1570,036.0.2.3.7.19
1570,036.0.2.3.7.30
1570,036.0.2.3.7.35
1527,034.1.5.7.70
1570,036.0.2.3.7.39
1570,036.0.2.3.7.50
1570,036.0.2.3.7.90
1505,035.03.4.3.50
1564,036.0.2.5.3.21
1562,036.0.2.3.9.91
1514,034.1.5.4.90
1563,036.0.2.4.2.10
1563,036.0.2.4.2.90
1563,036.0.2.4.3.10
1563,036.0.2.4.3.20
1563,036.0.2.4.4.90
1563,036.0.2.4.5.10
1563,036.0.2.4.6.10
1563,036.0.2.4.6.90
1571,036.0.2.4.7.10
1571,036.0.2.4.7.19
1527,034.1.5.5.11
1571,036.0.2.4.7.321
1571,036.0.2.4.7.35
1571,036.0.2.4.7.391
1571,036.0.2.4.7.39
1571,036.0.2.4.7.50
1571,036.0.2.4.7.90
1563,036.0.2.4.9.91
1564,036.0.2.5.3.22
1572,036.0.2.5.7.30
1540,034.1.1.2.90
1527,034.1.5.5.12
1572,036.0.2.5.7.35
1572,036.0.2.5.7.90
1564,036.0.2.5.9.91
1553,036.0.3.1.90
1553,036.0.3.2.90
1553,036.0.3.3.90
1554,036.0.3.4.90
1527,034.1.5.5.19
1555,036.0.3.5.90
1506,037.1.1.3.9.90
1506,037.1.1.4.3.20
1506,037.1.1.4.3.259
1527,034.1.5.5.40
1506,037.1.1.4.3.26
1506,037.1.1.4.3.279
1506,037.1.1.4.3.28
1506,037.1.1.4.3.29
1506,037.1.1.4.3.30
1506,037.1.1.4.3.399
1519,037.1.1.5.2.40
1519,037.1.1.5.2.69
1532,037.1.1.5.5.119
1532,037.1.1.5.5.111
1527,034.1.5.5.29
1532,037.1.1.5.5.112
1532,037.1.1.5.5.113
1532,037.1.1.5.5.114
1532,037.1.1.5.5.194
1532,037.1.1.5.5.199
1532,037.1.1.5.5.25
1532,037.1.1.5.5.201
1532,037.1.1.5.5.409
1532,037.1.1.5.5.401
1532,037.1.1.5.5.402
1527,034.1.5.5.50
1532,037.1.1.5.5.403
1532,037.1.1.5.5.50
1532,037.1.1.5.5.609
1532,037.1.1.5.5.909
1532,037.1.1.5.6.101
1527,034.1.5.5.60
1532,037.1.1.5.6.109
1532,037.1.1.5.6.201
1532,037.1.1.5.6.209
1532,037.1.1.5.6.401
1532,037.1.1.5.6.409
1532,037.1.1.5.6.911
1527,034.1.5.5.90
1532,037.1.1.5.6.902
1532,037.1.1.5.6.903
1532,037.1.1.5.6.905
1532,037.1.1.5.6.909
1532,037.1.1.5.7.612
1532,037.1.1.5.7.613
1532,037.1.1.5.7.611
1532,037.1.1.5.7.62
1532,037.1.1.5.7.691
1532,037.1.1.5.7.692
1532,037.1.1.5.7.693
1545,037.1.1.5.9.90
1507,037.1.2.1.10
1546,037.1.2.1.20
1546,037.1.2.1.29
1533,037.1.3.5.5.19
1520,037.1.2.1.30
1533,037.1.2.1.40
1546,037.1.2.1.90
1507,037.1.3.4.3.39
1507,037.1.3.4.3.90
1532,037.1.1.5.5.198
1532,037.1.1.5.5.193
1532,037.1.1.5.5.195
1533,037.1.1.5.5.602
1520,037.1.1.6.91
1546,037.1.1.6.92
1501,034.1.3.1.10
1546,037.1.3.5.9.98
1546,037.1.3.5.9.911
1546,037.1.3.5.9.99
1540,034.1.1.1.19
1501,034.1.2.1.20
1556,037.2.1.1.2.10
1556,037.2.1.1.2.909
1556,037.2.1.1.3.20
1556,037.2.1.1.5.901
1556,037.2.1.1.5.902
1556,037.2.1.1.5.909
1556,037.2.1.1.9.99
1556,037.2.1.1.5.904
1557,037.2.1.1.9.91
1565,037.2.2.1.2.10
1514,034.1.5.2.19
1565,037.2.2.1.2.90
1565,037.2.2.1.3.20
1565,037.2.2.1.4.99
1565,037.2.2.1.5.90
1527,034.1.5.7.75
1565,037.2.2.1.6.109
1565,037.2.2.1.6.102
1565,037.2.2.1.6.90
1573,037.2.2.1.7.99
1502,034.4.4.1.4.2.39
1565,037.2.2.1.9.91
1574,037.2.2.1.7.91
1565,037.2.2.1.9.94
1556,037.2.3.9.99
1557,037.2.3.9.91
1515,034.4.4.1.5.1.19
1523,411.11.5.2.19
1523,411.11.5.2.45
1515,034.4.4.1.5.1.90
1523,411.11.5.2.60
1523,411.11.5.8.70
1549,411.11.5.9.90
1522,411.12.5.3.67
1522,411.12.5.4.49
1535,411.12.5.7.01
1535,411.12.5.7.70
1535,411.12.5.5.19
1535,411.12.5.5.20
1535,411.12.5.5.30
1515,034.4.4.2.5.2.68
1535,411.12.5.5.40
1535,411.12.5.5.60
1535,411.12.5.5.65
1535,411.12.5.5.90
1548,411.12.5.9.90
1582,411.13.1.10
1582,411.13.1.20
1582,411.13.1.30
1582,411.13.1.90
1548,411.14.1.70
1528,034.2.5.7.62
1548,411.14.1.90
1501,034.1.3.2.20
1541,034.4.4.1.5.9.90
1541,034.4.4.2.5.9.91
1508,081.42.1.3.9.90
1521,081.42.1.5.2.19
1521,081.42.1.5.2.51
1521,081.42.1.5.2.60
1521,081.42.1.5.4.49
1521,081.42.1.5.2.96
1521,081.42.1.5.4.19
1521,081.42.1.5.3.67
1534,081.42.1.5.7.01
1534,081.42.1.5.7.70
1534,081.42.1.5.5.19
1534,081.42.1.5.5.20
1534,081.42.1.5.5.30
1534,081.42.1.5.5.40
1534,081.42.1.5.5.60
1534,081.42.1.5.5.65
1534,081.42.1.5.5.90
1534,081.42.1.5.6.90
1534,081.42.1.5.7.69
1534,081.42.1.5.9.90
1558,081.42.2.2.90
1558,081.42.2.3.90
1558,081.42.2.5.90
1558,081.42.2.9.90
1581,081.42.3.1.10
1581,081.42.3.1.30
1581,081.42.3.1.90
1550,081.99.1.1.80
1581,081.99.1.1.90
1550,081.99.2.1.90
1554,036.0.1.4.5.30
1532,037.1.1.5.7.02
1562,036.0.2.3.2.20
1506,037.1.1.4.3.90
1527,034.1.5.7.62
1519,037.1.1.5.2.90
1572,036.0.2.5.7.50
1532,037.1.1.5.5.601
1546,037.1.1.6.93
1519,037.1.1.5.4.90
1532,037.1.1.5.7.70
1557,037.2.1.1.5.903
1546,037.1.3.5.9.94
1520,037.1.3.5.9.95
1520,037.1.2.1.50
1546,034.2.9.2.10
1546,035.02.3.9.2.10
1515,034.4.4.2.5.2.18
1515,034.4.4.2.5.2.30
1515,034.4.4.2.5.2.40
1515,034.4.4.2.5.2.70
1514,034.1.5.2.70
1515,034.4.4.2.5.4.41
1515,034.4.4.2.5.3.01
1564,036.0.2.5.4.90
1562,036.0.2.3.6.30
1563,036.0.2.4.6.30
1522,411.12.5.2.45
1522,411.12.5.8.70
1503,034.3.1.3.9.30
1501,034.1.3.9.30
1514,034.1.5.2.80
1501,034.1.4.5.10
1515,034.2.5.1.902
1546,037.1.2.1.95
1518,035.03.5.2.90
1572,036.0.2.5.7.80
1514,034.1.5.4.12
1540,34.5
1544,35.05
1553,036.0.4
1546,037.1.3.6.90
1548,411.15
1531,035.03.5.5.90
1515,034.2.5.1.50
1553,036.0.1.3.5.92
1562,036.0.2.3.9.92
1562,036.0.2.3.9.95
1563,036.0.2.4.9.95
1564,036.0.2.5.9.95
1591,291.1.5.10
1567,291.1.5.21
1567,291.1.5.22
1515,034.2.5.2.80
1567,291.1.5.23
1567,291.1.5.24
1567,291.1.5.25
1567,291.1.5.29
1567,291.1.5.30
1550,291.9.6.10
1591,291.9.7.10
1591,291.9.7.20
1515,034.2.5.2.70
1550,291.9.9.10
1559,291.9.9.20
1576,291.9.9.30
1550,291.9.9.90
1594,292.9.1.11
1594,292.9.1.12
1596,292.9.1.13
1532,037.1.1.5.5.901
1528,034.2.5.7.08
1532,037.1.1.5.7.614
1572,036.0.2.5.7.801
1506,037.1.1.4.2.10
1519,037.1.1.5.2.19
1519,037.1.1.5.3.90
1556,037.2.1.1.3.10
1574,037.2.2.1.7.31
1528,034.2.5.6.10
1518,035.02.1.5.2.45
1531,035.02.2.5.5.61
1501,034.3.2.1.4.2.39
1540,034.3.2.1.5.90
1503,034.3.1.4.3.39
1503,034.3.1.4.3.90
1505,035.02.3.4.3.90
1515,034.2.5.4.12
1531,035.02.2.5.5.11
1531,035.02.2.5.5.65
1531,035.02.1.5.5.90
1531,035.02.1.5.5.191
1531,035.02.1.5.5.20
1518,035.02.1.5.3.67
1546,037.1.3.5.9.92
1546,037.1.3.5.9.93
1546,037.1.3.5.9.912
1520,034.2.9.1.21
1531,035.02.1.5.6.90
1594,292.9.1.19
1594,292.9.1.21
1594,292.9.1.22
1595,292.9.1.23
1595,292.9.1.24
1520,034.2.9.1.22
1594,292.9.1.29
1594,292.9.1.30
1594,292.9.1.40
1594,292.9.1.50
1596,292.9.1.51
1594,292.9.1.60
1594,292.9.1.71
1594,292.9.1.72
1594,292.9.1.73
